,title,artist,release,metascore,userscore
2748,Rainforest,by Clams Casino,"July 5, 2011",75,8.3
2749,Str8 Killa [EP],by Freddie Gibbs,"August 3, 2010",76,8.3
2750,Reconstructed: The Best of DJ Shadow,by DJ Shadow,"September 25, 2012",79,8.3
2751,Anicca,by Teebs,"October 25, 2019",84,8.3
2752,Kamikaze,by Eminem,"August 31, 2018",62,8.2
2753,Relapse,by Eminem,"May 19, 2009",59,8.2
2754,At.Long.Last.A$AP,by A$AP Rocky,"May 26, 2015",76,8.2
2755,Oxymoron,by ScHoolboy Q,"February 25, 2014",78,8.2
2756,My Name Is My Name,by Pusha T,"October 7, 2013",81,8.2
2757,Die Lit,by Playboi Carti,"May 11, 2018",71,8.2
2758,Surf,by Donnie Trumpet & The Social Experiment,"May 29, 2015",86,8.2
2759,The  Divine Feminine,by Mac Miller,"September 16, 2016",70,8.2
2760,My Krazy Life,by YG,"March 18, 2014",80,8.2
2761,4eva Is a Mighty Long Time,by Big K.R.I.T.,"October 27, 2017",80,8.2
2762,Habits & Contradictions,by ScHoolboy Q,"January 14, 2012",78,8.2
2763,"Hot Sauce Committee, Pt. 2",by Beastie Boys,"May 3, 2011",83,8.2
2764,Tickets to My Downfall,by Machine Gun Kelly,"September 25, 2020",72,8.2
2765,Shadow of a Doubt,by Freddie Gibbs,"November 20, 2015",78,8.2
2766,Islah,by Kevin Gates,"January 29, 2016",81,8.2
2767,Laila’s Wisdom,by Rapsody,"September 22, 2017",87,8.2
2768,The Grey Album,by Danger Mouse,"February 3, 2004",79,8.2
2769,Something Else,by Tech N9ne,"July 30, 2013",85,8.2
2770,Under Construction,by Missy Elliott,"November 12, 2002",81,8.2
2771,"The ""W""",by Wu-Tang Clan,"November 21, 2000",80,8.2
2772,The Odd Couple,by Gnarls Barkley,"March 18, 2008",76,8.2
2773,We're New Here,by Gil Scott-Heron,"February 22, 2011",83,8.2
2774,Slime Season [Mixtape],by Young Thug,"September 16, 2015",80,8.2
2775,Seven's Travels,by Atmosphere,"September 23, 2003",72,8.2
2776,Showtime,by Dizzee Rascal,"September 14, 2004",87,8.2
2777,Brick Body Kids Still Daydream,by Open Mike Eagle,"September 15, 2017",82,8.2
2778,II Trill,by Bun B,"May 20, 2008",82,8.2
2779,1992 Deluxe,by Princess Nokia,"September 8, 2017",77,8.2
2780,Ignorance Is Bliss,by Skepta,"May 31, 2019",79,8.2
2781,Testimony,by August Alsina,"April 15, 2014",79,8.2
2782,Cashmere,by Swet Shop Boys,"October 14, 2016",80,8.2
2783,The Saga Continues,by Wu-Tang,"October 13, 2017",64,8.2
2784,Maths + English,by Dizzee Rascal,"June 5, 2007",78,8.2
2785,Loso's Way,by Fabolous,"July 28, 2009",66,8.2
2786,Stone Rollin',by Raphael Saadiq,"May 10, 2011",86,8.2
2787,Reservation [Mixtape],by Angel Haze,"July 17, 2012",88,8.2
2788,The Hunger Games: Songs from District 12 and Beyond,by Original Soundtrack,"March 20, 2012",72,8.2
2789,Return Of Dragon,by Sisqó,"June 19, 2001",61,8.2
2790,Supreme Blientele,by Westside Gunn,"June 22, 2018",69,8.2
2791,Crime Pays,by Cam'ron,"May 12, 2009",68,8.2
2792,Czarface,by Inspectah Deck,"February 19, 2013",77,8.2
2793,"Imani, Vol. 1",by Blackalicious,"September 18, 2015",76,8.2
2794,Black Radio,by Robert Glasper,"February 28, 2012",74,8.2
2795,Right About Now,by Talib Kweli,"November 22, 2005",68,8.2
2796,The Ecology,by Fashawn,"February 24, 2015",84,8.2
2797,Party Music,by The Coup,"November 6, 2001",85,8.2
2798,Everyone Deserves Music,by Michael Franti & Spearhead,"August 19, 2003",71,8.2
2799,Peanut Butter Blues and Melancholy Jam,by Ghostpoet,"February 7, 2011",78,8.2
2800,Quality Control,by Jurassic 5,"June 6, 2000",77,8.2
2801,White People,by Handsome Boy Modeling School,"November 9, 2004",66,8.2
2802,Copper Gone,by Sage Francis,"June 3, 2014",64,8.2
2803,Fever,by Black Milk,"February 23, 2018",80,8.2
2804,Masquerade,by Wyclef Jean,"June 18, 2002",60,8.2
2805,The Preacher's Son,by Wyclef Jean,"November 4, 2003",61,8.2
2806,Honkey Kong,by Apathy,"August 23, 2011",82,8.2
2807,Ohio,by Stalley,"October 28, 2014",79,8.2
2808,The Show,by eMC,"March 25, 2008",77,8.2
2809,WLIB AM: King Of The Wigflip,by Madlib,"September 30, 2008",72,8.2
2810,Quakers,by Quakers,"March 26, 2012",80,8.2
2811,Russian Roulette,by The Alchemist,"July 17, 2012",76,8.2
2812,Music for My Friends,by Skyzoo,"June 23, 2015",81,8.2
2813,August Greene,by August Greene,"March 9, 2018",72,8.2
2814,Czarface Meets Ghostface,by Czarface,"February 15, 2019",72,8.2
2815,Graduation,by Kanye West,"September 11, 2007",79,8.1
2816,The Pinkprint,by Nicki Minaj,"December 15, 2014",70,8.1
2817,All-Amerikkkan Bada$$,by Joey Bada$$,"April 7, 2017",75,8.1
2818,Tha Carter V,by Lil Wayne,"September 28, 2018",72,8.1
2819,B4.DA.$$,by Joey Bada$$,"January 20, 2015",75,8.1
2820,The Incredible True Story,by Logic,"November 13, 2015",75,8.1
2821,Year Of The Snitch,by Death Grips,"June 22, 2018",69,8.1
2822,JEFFERY [Mixtape],by Young Thug,"August 26, 2016",82,8.1
2823,Post Traumatic,by Mike Shinoda,"June 15, 2018",73,8.1
2824,Xen,by Arca,"November 4, 2014",79,8.1
2825,Live from the Underground,by Big K.R.I.T.,"June 5, 2012",78,8.1
2826,Godfather,by Wiley,"January 13, 2017",84,8.1
2827,Redemption,by Jay Rock,"June 15, 2018",81,8.1
2828,White Men Are Black Men Too,by Young Fathers,"April 7, 2015",83,8.1
2829,Devil's Night,by D12,"June 19, 2001",58,8.1
2830,Eve,by Rapsody,"August 23, 2019",90,8.1
2831,Nothing Great About Britain,by slowthai,"May 17, 2019",82,8.1
2832,Slime Season 3 [Mixtape],by Young Thug,"March 25, 2016",76,8.1
2833,Splendor & Misery,by clipping.,"September 9, 2016",76,8.1
2834,Follow Me Home,by Jay Rock,"July 26, 2011",73,8.1
2835,Not All Heroes Wear Capes,by Metro Boomin,"December 7, 2018",78,8.1
2836,Apollo Kids,by Ghostface Killah,"December 21, 2010",84,8.1
2837,36 Seasons,by Ghostface Killah,"December 9, 2014",72,8.1
2838,Quality,by Talib Kweli,"November 19, 2002",79,8.1
2839,Vacation in Hell,by Flatbush Zombies,"April 6, 2018",79,8.1
2840,Malibu Ken,by Malibu Ken,"January 18, 2019",76,8.1
2841,Blackout! 2,by Method Man & Redman,"May 19, 2009",79,8.1
2842,Victory Lap,by Nipsey Hussle,"February 16, 2018",80,8.1
2843,Til The Casket Drops,by Clipse,"December 8, 2009",64,8.1
2844,Paid Tha Cost To Be Da Boss,by Snoop Dogg,"November 26, 2002",76,8.1
2845,Slaughterhouse,by Slaughterhouse,"August 11, 2009",69,8.1
2846,Pattern + Grid World,by Flying Lotus,"September 21, 2010",82,8.1
2847,Layers,"by Royce da 5'9""","April 15, 2016",77,8.1
2848,What Does It All Mean? 1983-2006 Retrospective,by Steinski,"May 27, 2008",86,8.1
2849,W.A.R. (We Are Renegades),by Pharoahe Monch,"March 22, 2011",77,8.1
2850,Genesis,by Busta Rhymes,"November 13, 2001",77,8.1
2851,Murs For President,by Murs,"September 30, 2008",74,8.1
2852,Freebase [EP],by 2 Chainz,"May 5, 2014",75,8.1
2853,2000 BC,by Canibus,"July 18, 2000",60,8.1
2854,Revolutions Per Minute,by Reflection Eternal,"May 18, 2010",80,8.1
2855,Hoodies All Summer,by Kano,"August 30, 2019",79,8.1
2856,Mysterious Phonk: The Chronicles of Spaceghostpurrp,by SpaceGhostPurrp,"June 12, 2012",69,8.1
2857,P2,by Dave East,"January 16, 2018",83,8.1
2858,Soft Money,by Jel,"February 28, 2006",67,8.1
2859,This Is Our Science,by Astronautalis,"September 13, 2011",85,8.1
2860,RetroHash,by Asher Roth,"April 22, 2014",63,8.1
2861,Chamber Music,by Wu-Tang Clan,"June 30, 2009",75,8.1
2862,Give Me My Flowers While I Can Still Smell Them,by Blu & Exile,"September 4, 2012",76,8.1
2863,Black Focus,by Yussef Kamaal,"November 11, 2016",82,8.1
2864,The In Crowd,by Kidz in the Hall,"May 13, 2008",73,8.1
2865,"Maybach Music Group Presents: Self Made, Vol. 1",by Maybach Music,"May 23, 2011",63,8.1
2866,Lip Lock,by Eve,"May 14, 2013",62,8.1
2867,Who Told You To Think?,by Milo,"August 11, 2017",84,8.1
2868,Astroworld,by Travis Scott,"August 3, 2018",85,8.0
2869,Take Care,by Drake,"November 15, 2011",78,8.0
2870,Psychodrama,by Dave,"March 8, 2019",90,8.0
2871,ZUU,by Denzel Curry,"May 31, 2019",85,8.0
2872,FM!,by Vince Staples,"November 2, 2018",81,8.0
2873,I Am > I Was,by 21 Savage,"December 21, 2018",81,8.0
2874,The Documentary 2.5,by The Game,"October 16, 2015",79,8.0
2875,UNLOCKED,by Denzel Curry,"February 7, 2020",81,8.0
2876,Ratchet,by Shamir,"May 19, 2015",80,8.0
2877,Confessions,by Usher,"March 23, 2004",71,8.0
2878,Who Needs Actions When You Got Words,by Plan B,"June 26, 2006",74,8.0
2879,Revenge of the Dreamers III,by Dreamville,"July 5, 2019",77,8.0
2880,Injury Reserve,by Injury Reserve,"May 17, 2019",75,8.0
2881,Neō Wax Bloom,by Iglooghost,"September 29, 2017",83,8.0
2882,Limbo,by Aminé,"August 7, 2020",75,8.0
2883,Till Death Do Us Part,by Cypress Hill,"March 23, 2004",62,8.0
2884,TWENTY88 [EP],by Twenty88,"April 1, 2016",72,8.0
2885,The Don of Diamond Dreams,by Shabazz Palaces,"April 17, 2020",77,8.0
2886,Rare Chandeliers [Mixtape],by Action Bronson,"November 15, 2012",74,8.0
2887,The  Diary,by J Dilla,"April 15, 2016",73,8.0
2888,The Family Sign,by Atmosphere,"April 12, 2011",73,8.0
2889,At What Cost,by GoldLink,"March 24, 2017",71,8.0
2890,Good Luck and Do Your Best,by Gold Panda,"May 27, 2016",79,8.0
2891,Strength & Loyalty,by Bone Thugs-N-Harmony,"May 8, 2007",74,8.0
2892,How You Sell Soul to a Soulless People Who Sold Their Soul?,by Public Enemy,"August 7, 2007",71,8.0
2893,The Hard Way,by 213,"August 17, 2004",56,8.0
2894,Adrian Younge Presents: Twelve Reasons to Die II,by Ghostface Killah,"July 10, 2015",72,8.0
2895,1988,by Blueprint,"March 29, 2005",83,8.0
2896,Weekend at Burnie's,by Curren$y,"June 28, 2011",77,8.0
2897,Golden Ticket,by Golden Rules,"August 7, 2015",82,8.0
2898,Felt 3: A Tribute To Rosie Perez,by Felt,"November 17, 2009",79,8.0
2899,"Streams of Thought, Vol. 1 [EP]",by Black Thought,"June 1, 2018",81,8.0
2900,Roadkill Overcoat,by Busdriver,"January 30, 2007",68,8.0
2901,What You Gonna Do When the Grid Goes Down?,by Public Enemy,"September 25, 2020",75,8.0
2902,Lucky 7,by Statik Selektah,"July 10, 2015",69,8.0
2903,Everything Is Beautiful,by Princess Nokia,"February 26, 2020",75,8.0
2904,Love & Hate,by Aceyalone,"June 3, 2003",66,8.0
2905,Automato,by Automato,"April 20, 2004",74,8.0
2906,In Search Of Stoney Jackson,by Strong Arm Steady,"January 27, 2010",75,8.0
2907,Ohnomite,by Oh No,"June 5, 2012",81,8.0
2908,By Any Means [Mixtape],by Kevin Gates,"March 18, 2014",77,8.0
2909,None of Us Are Getting out of This Life Alive,by The Streets,"July 10, 2020",73,8.0
2910,The Electric Mile,by G Love & Special Sauce,"April 24, 2001",70,8.0
2911,I Love You,by Amanda Blank,"August 4, 2009",59,8.0
2912,Winter & the Wolves,by Grieves,"March 25, 2014",58,8.0
2913,A Grand Don't Come For Free,by The Streets,"May 18, 2004",91,7.9
2914,Iridescence,by BROCKHAMPTON,"September 21, 2018",85,7.9
2915,Black Panther: The Album,by Original Soundtrack,"February 9, 2018",80,7.9
2916,Ginger,by BROCKHAMPTON,"August 23, 2019",75,7.9
2917,Oxnard,by Anderson .Paak,"November 16, 2018",73,7.9
2918,Idlewild,by Outkast,"August 22, 2006",72,7.9
2919,Do What Thou Wilt.,by Ab-Soul,"December 9, 2016",64,7.9
2920,Modus Vivendi,by 070 Shake,"January 17, 2020",80,7.9
2921,3001: A Laced Odyssey,by Flatbush Zombies,"March 11, 2016",80,7.9
2922,The Tipping Point,by The Roots,"July 13, 2004",72,7.9
2923,New Danger,by Mos Def,"October 12, 2004",59,7.9
2924,Meow the Jewels,by Run the Jewels,"September 25, 2015",74,7.9
2925,The Red Light District,by Ludacris,"December 7, 2004",70,7.9
2926,There Existed an Addiction to Blood,by clipping.,"October 18, 2019",73,7.9
2927,Freddie [Mixtape],by Freddie Gibbs,"June 22, 2018",84,7.9
2928,13 & God,by 13 & God,"May 3, 2005",80,7.9
2929,The Iceberg,by Oddisee,"February 24, 2017",82,7.9
2930,Nightmare Vacation,by Rico Nasty,"December 4, 2020",80,7.9
2931,The Neptunes Present... Clones,by The Neptunes,"August 19, 2003",73,7.9
2932,Charity Starts at Home,by Phonte,"September 27, 2011",88,7.9
2933,The Defamation Of Strickland Banks,by Plan B,"April 19, 2011",75,7.9
2934,Mirrorland,by EarthGang,"September 6, 2019",77,7.9
2935,Well-Done,by Statik Selektah,"November 22, 2011",79,7.9
2936,Man Vs Machine,by Xzibit,"October 1, 2002",59,7.9
2937,Perfect Hair,by Busdriver,"September 9, 2014",74,7.9
2938,"Love, War And The Ghost Of Whitey Ford",by Everlast,"September 23, 2008",64,7.9
2939,Extended Play,by Statik Selektah,"June 18, 2013",83,7.9
2940,Situation,by Buck 65,"October 30, 2007",68,7.9
2941,Leave It All Behind,by The Foreign Exchange,"October 14, 2008",82,7.9
2942,The Take Over,by Zion I,"January 27, 2009",58,7.9
2943,The Audience's Listening,by Cut Chemist,"July 11, 2006",79,7.9
2944,"Anime, Trauma and Divorce",by Open Mike Eagle,"October 16, 2020",82,7.9
2945,Queen,by Nicki Minaj,"August 10, 2018",70,7.8
2946,808s & Heartbreak,by Kanye West,"November 25, 2008",75,7.8
2947,Camp,by Childish Gambino,"November 15, 2011",69,7.8
2948,Konnichiwa,by Skepta,"May 6, 2016",83,7.8
2949,Beautiful Thugger Girls,by Young Thug,"June 16, 2017",84,7.8
2950,Legends Never Die,by Juice WRLD,"July 10, 2020",75,7.8
2951,So Much Fun,by Young Thug,"August 16, 2019",79,7.8
2952,Playboi Carti [Mixtape],by Playboi Carti,"April 14, 2017",69,7.8
2953,L.A.X.,by The Game,"August 26, 2008",65,7.8
2954,Beg For Mercy,by G-Unit,"November 14, 2003",62,7.8
2955,Sour Soul,by Ghostface Killah,"February 24, 2015",76,7.8
2956,The Hunger For More,by Lloyd Banks,"June 29, 2004",66,7.8
2957,"The OF Tape, Vol. 2",by Odd Future,"March 20, 2012",71,7.8
2958,Summer Knights [Mixtape],by Joey Bada$$,"July 1, 2013",66,7.8
2959,...And Then You Shoot Your Cousin,by The Roots,"May 19, 2014",70,7.8
2960,Fear of God II: Let Us Pray [EP],by Pusha T,"November 8, 2011",69,7.8
2961,You Only Live 2wice,by Freddie Gibbs,"March 31, 2017",76,7.8
2962,Dead,by Young Fathers,"February 4, 2014",83,7.8
2963,Big Baby D.R.A.M.,by D.R.A.M.,"October 21, 2016",80,7.8
2964,The Great Gatsby [Music from Baz Luhrmann's Film],by Various Artists,"May 7, 2013",63,7.8
2965,Stranger,by Yung Lean,"November 10, 2017",63,7.8
2966,"Cozy Tapes, Vol. 1: Friends",by A$AP Mob,"October 31, 2016",78,7.8
2967,Disc-Overy,by Tinie Tempah,"May 17, 2011",72,7.8
2968,Success Is Certain,"by Royce da 5'9""","August 9, 2011",82,7.8
2969,VII,by Teyana Taylor,"November 4, 2014",77,7.8
2970,Anger Management,by Rico Nasty,"April 25, 2019",79,7.8
2971,Relax,by Das Racist,"September 13, 2011",78,7.8
2972,Good Things,by Aloe Blacc,"September 28, 2010",82,7.8
2973,The Good Fight,by Oddisee,"May 5, 2015",80,7.8
2974,Southsiders,by Atmosphere,"May 6, 2014",70,7.8
2975,The Craft,by Blackalicious,"September 27, 2005",80,7.8
2976,Wu-Massacre,by Meth-Ghost-Rae,"March 30, 2010",73,7.8
2977,Mourning in America and Dreaming in Color,by Brother Ali,"September 18, 2012",80,7.8
2978,Extinction Level Event 2: The Wrath of God,by Busta Rhymes,"October 30, 2020",71,7.8
2979,Surrounded By Silence,by Prefuse 73,"March 22, 2005",73,7.8
2980,Human The Death Dance,by Sage Francis,"May 8, 2007",77,7.8
2981,Feel Good,by The Internet,"September 24, 2013",69,7.8
2982,The Return,by Sampa the Great,"September 13, 2019",83,7.8
2983,Numbers,by MellowHype,"October 9, 2012",73,7.8
2984,Moosebumps: An Exploration Into Modern Day Horripilation,by Dr. Octagon,"April 6, 2018",77,7.8
2985,Effected,by Cozz,"February 13, 2018",76,7.8
2986,A Girl Cried Red [Mixtape],by Princess Nokia,"April 13, 2018",61,7.8
2987,The eXXecution,by Marco Polo & Ruste Juxx,"March 23, 2010",85,7.8
2988,NoYork!,by Blu,"March 26, 2013",78,7.8
2989,A Tiger Dancing,by Heiruspecs,"September 28, 2004",78,7.8
2990,Vodka & Ayahuasca,by Gangrene,"January 24, 2012",76,7.8
2991,Raw Money Raps,by Jeremiah Jae,"July 24, 2012",79,7.8
2992,The Man with the Iron Fists [OST],by RZA,"October 23, 2012",77,7.8
2993,No Hard Feelings,by Dreezy,"July 22, 2016",73,7.8
2994,"Chill, Dummy",by P.O.S,"January 27, 2017",83,7.8
2995,Born 2 Rap,by The Game,"November 29, 2019",82,7.8
2996,Burden of Proof,by Benny the Butcher,"October 16, 2020",82,7.8
2997,Greatest Story Ever Told,by David Banner,"July 15, 2008",57,7.8
2998,GhostDeini The Great,by Ghostface Killah,"December 16, 2008",62,7.8
2999,Pray IV Reign,by Jim Jones,"March 24, 2009",62,7.8
3000,awE naturalE,by THEESatisfaction,"March 27, 2012",75,7.8
3001,All Hands,by Doomtree,"January 27, 2015",62,7.8
3002,The Life Of Pablo,by Kanye West,"February 13, 2016",75,7.7
3003,Watch the Throne,by Kanye West,"August 12, 2011",76,7.7
3004,If You're Reading This It's Too Late [Mixtape],by Drake,"February 13, 2015",78,7.7
3005,Circles,by Mac Miller,"January 17, 2020",83,7.7
3006,Nasir,by Nas,"June 15, 2018",58,7.7
3007,Long.Live.A$AP,by A$AP Rocky,"January 15, 2013",75,7.7
3008,Birds In The Trap Sing McKnight,by Travis Scott,"September 2, 2016",64,7.7
3009,So Far Gone [Mixtape],by Drake,"February 13, 2009",81,7.7
3010,Slay-Z [Mixtape],by Azealia Banks,"March 24, 2016",75,7.7
3011,Championships,by Meek Mill,"November 30, 2018",77,7.7
3012,PRhyme,by PRhyme,"December 9, 2014",84,7.7
3013,Heavy is the Head,by Stormzy,"December 13, 2019",82,7.7
3014,Strange Clouds,by B.o.B,"May 1, 2012",65,7.7
3015,Lost And Found,by Will Smith,"March 29, 2005",50,7.7
3016,Nobody's Smiling,by Common,"July 22, 2014",78,7.7
3017,The Lady Killer,by Cee Lo Green,"November 9, 2010",80,7.7
3018,The Album About Nothing,by Wale,"March 31, 2015",67,7.7
3019,Everybody Looking,by Gucci Mane,"July 22, 2016",72,7.7
3020,Savage Mode II,by 21 Savage,"October 2, 2020",81,7.7
3021,Slime Season 2 [Mixtape],by Young Thug,"October 31, 2015",81,7.7
3022,"Come Over When You’re Sober, Pt. 2",by Lil Peep,"November 9, 2018",79,7.7
3023,Straight Outta Ca$hville,by Young Buck,"August 24, 2004",72,7.7
3024,Czarface Meets Metal Face,by Czarface/MF Doom,"March 30, 2018",75,7.7
3025,"Laugh Now, Cry Later",by Ice Cube,"June 6, 2006",59,7.7
3026,Beast Mode [Mixtape],by Future,"January 15, 2015",81,7.7
3027,The State vs. Radric Davis,by Gucci Mane,"December 8, 2009",66,7.7
3028,The Grind Date,by De La Soul,"October 5, 2004",80,7.7
3029,The Beautiful Struggle,by Talib Kweli,"September 28, 2004",66,7.7
3030,Pieces of a Man,by Mick Jenkins,"October 26, 2018",77,7.7
3031,Fishing Blues,by Atmosphere,"August 12, 2016",71,7.7
3032,TM:103 Hustlerz Ambition,by Young Jeezy,"December 20, 2011",70,7.7
3033,What Goes Around,by Statik Selektah,"August 19, 2014",84,7.7
3034,Hella Personal Film Festival,by Open Mike Eagle,"March 25, 2016",79,7.7
3035,Dime Trap,by T.I.,"October 5, 2018",81,7.7
3036,The Last Temptation,by Ja Rule,"November 19, 2002",57,7.7
3037,Gutter Rainbows,by Talib Kweli,"January 25, 2011",71,7.7
3038,The Great Depression,by DMX,"October 23, 2001",62,7.7
3039,Abandoned Language,by Dälek,"February 27, 2007",76,7.7
3040,Remember My Name,by Lil Durk,"June 2, 2015",61,7.7
3041,20/20,by Dilated Peoples,"February 21, 2006",63,7.7
3042,Last 2 Walk,by Three 6 Mafia,"June 24, 2008",56,7.7
3043,The Music Scene,by Blockhead,"January 12, 2010",75,7.7
3044,Cats & Dogs,by Evidence,"September 27, 2011",79,7.7
3045,Harlan & Alondra,by Buddy,"July 20, 2018",83,7.7
3046,A Little Deeper,by Ms. Dynamite,"March 11, 2003",80,7.7
3047,More Heart Than Brains,by Bike For Three!,"May 26, 2009",82,7.7
3048,Return Of The Wu & Friends,by Wu-Tang Clan,"February 16, 2010",68,7.7
3049,Have a Nice Life,by Murs,"May 19, 2015",75,7.7
3050,Nothing Is Quick In The Desert,by Public Enemy,"June 30, 2017",71,7.7
3051,Yeezus,by Kanye West,"June 18, 2013",84,7.6
3052,Nothing Was the Same,by Drake,"September 24, 2013",79,7.6
3053,KOD,by J. Cole,"April 20, 2018",73,7.6
3054,Eminem Presents: The Re-Up,by Eminem,"December 5, 2006",50,7.6
3055,Hollywood's Bleeding,by Post Malone,"September 6, 2019",79,7.6
3056,Cuz I Love You,by Lizzo,"April 19, 2019",84,7.6
3057,Cole World: The Sideline Story,by J. Cole,"September 27, 2011",75,7.6
3058,The  Heist,by Ryan Lewis,"October 9, 2012",74,7.6
3059,90059,by Jay Rock,"September 11, 2015",79,7.6
3060,Cruel Summer,by Various Artists,"September 18, 2012",68,7.6
3061,Bush,by Snoop Dogg,"May 12, 2015",69,7.6
3062,The Documentary 2,by The Game,"October 9, 2015",75,7.6
3063,To The 5 Boroughs,by Beastie Boys,"June 15, 2004",71,7.6
3064,Vicious Lies and Dangerous Rumors,by Big Boi,"December 11, 2012",72,7.6
3065,Suga [EP],by Megan Thee Stallion,"March 6, 2020",77,7.6
3066,Amen,by Rich Brian,"February 2, 2018",68,7.6
3067,And the Anonymous Nobody,by De La Soul,"August 26, 2016",77,7.6
3068,Big Conspiracy,by J Hus,"January 24, 2020",86,7.6
3069,Shaolin vs. Wu-Tang,by Raekwon,"March 8, 2011",73,7.6
3070,The Wild,by Raekwon,"March 24, 2017",80,7.6
3071,Dear Annie,by Rejjie Snow,"February 16, 2018",79,7.6
3072,God's Father [Mixtape],by Lil B,"March 7, 2012",75,7.6
3073,Cellar Door: Terminus Ut Exordium,by The Underachievers,"August 12, 2014",76,7.6
3074,No Poison No Paradise,by Black Milk,"October 15, 2013",78,7.6
3075,K.R.I.T. IZ HERE,by Big K.R.I.T.,"July 12, 2019",69,7.6
3076,Breakfast,by Chiddy Bang,"February 28, 2012",67,7.6
3077,Neva Left,by Snoop Dogg,"May 19, 2017",71,7.6
3078,Top 5 Dead or Alive,by Jadakiss,"November 20, 2015",73,7.6
3079,Secret House Against The World,by Buck 65,"August 1, 2005",71,7.6
3080,Record Collection,by Mark Ronson and the Business Intl,"September 28, 2010",70,7.6
3081,Legendary Weapons,by Wu-Tang Clan,"July 26, 2011",61,7.6
3082,PRhyme 2,by PRhyme,"March 16, 2018",74,7.6
3083,7 Days of Funk,by 7 Days of Funk,"December 10, 2013",74,7.6
3084,MartyrLoserKing,by Saul Williams,"January 29, 2016",78,7.6
3085,PL3DGE,by Killer Mike,"May 17, 2011",75,7.6
3086,When Fish Ride Bicycles,by The Cool Kids,"July 12, 2011",75,7.6
3087,Violence Begets Violence,by Jedi Mind Tricks,"October 31, 2011",59,7.6
3088,Fool,by Jameszoo,"May 13, 2016",80,7.6
3089,Fireplace: TheNotTheOtherSide,by Hodgy,"December 23, 2016",69,7.6
3090,From King to a God,by Conway the Machine,"September 11, 2020",82,7.6
3091,Wooden Leather,by Nappy Roots,"August 26, 2003",79,7.6
3092,Shock City Maverick,by Beans,"October 19, 2004",65,7.6
3093,Fear Of A Black Tangent,by Busdriver,"February 22, 2005",78,7.6
3094,Fallen House Sunken City,by B. Dolan,"March 2, 2010",81,7.6
3095,Repent Replenish Repeat,by dan le sac Vs Scroobius Pip,"October 29, 2013",66,7.6
3096,Encore,by Eminem,"November 12, 2004",64,7.5
3097,4 Your Eyez Only,by J. Cole,"December 9, 2016",75,7.5
3098,DS2,by Future,"July 17, 2015",80,7.5
3099,Mr. Wonderful,by Action Bronson,"March 24, 2015",77,7.5
3100,A Written Testimony,by Jay Electronica,"March 13, 2020",83,7.5
3101,Free TC,by Ty Dolla $ign,"November 13, 2015",76,7.5
3102,Fly Or Die,by N.E.R.D,"March 23, 2004",68,7.5
3103,Deeper Than Rap,by Rick Ross,"April 21, 2009",73,7.5
3104,The Healing Component,by Mick Jenkins,"September 23, 2016",79,7.5
3105,The Autobiography,by Vic Mensa,"July 28, 2017",71,7.5
3106,Dirty Gold,by Angel Haze,"December 30, 2013",66,7.5
3107,Seen It All: The Autobiography,by Jeezy,"September 2, 2014",70,7.5
3108,The  Chief,by Jidenna,"February 17, 2017",73,7.5
3109,Kiss Of Death,by Jadakiss,"June 22, 2004",76,7.5
3110,Anything but Words,by Banks & Steelz,"August 26, 2016",72,7.5
3111,The Circus [EP],by Mick Jenkins,"January 10, 2020",78,7.5
3112,Blue Chips 7000,by Action Bronson,"August 25, 2017",76,7.5
3113,Tongue N' Cheek,by Dizzee Rascal,"September 21, 2009",75,7.5
3114,Malpractice,by Redman,"May 22, 2001",59,7.5
3115,Quazarz: Born on a Gangster Star,by Shabazz Palaces,"July 14, 2017",77,7.5
3116,Black Dialogue,by The Perceptionists,"March 22, 2005",81,7.5
3117,EarthEE,by THEESatisfaction,"February 24, 2015",79,7.5
3118,Young Miss America,by Gold Chains,"June 3, 2003",72,7.5
3119,MellowHigh,by MellowHigh,"October 31, 2013",65,7.5
3120,4:44,by Jay-Z,"June 30, 2017",82,7.4
3121,Testing,by A$AP Rocky,"May 25, 2018",67,7.4
3122,Cannibal,by Ke$ha,"November 22, 2010",73,7.4
3123,Double Dutchess,by Fergie,"September 22, 2017",53,7.4
3124,C U L T U R E,by Migos,"January 27, 2017",79,7.4
3125,FWA (Free Weezy Album),by Lil Wayne,"July 4, 2015",61,7.4
3126,Jesus Piece,by Game,"December 11, 2012",66,7.4
3127,Gang Signs & Prayer,by Stormzy,"February 24, 2017",82,7.4
3128,The Naked Truth,by Lil' Kim,"September 27, 2005",66,7.4
3129,The  Dreamer/The Believer,by Common,"December 20, 2011",74,7.4
3130,Tha Blue Carpet Treatment,by Snoop Dogg,"November 21, 2006",70,7.4
3131,The Mix-Up,by Beastie Boys,"June 26, 2007",61,7.4
3132,Collegrove,by 2 Chainz,"March 4, 2016",66,7.4
3133,Ego Trippin',by Snoop Dogg,"March 11, 2008",71,7.4
3134,High Off Life,by Future,"May 15, 2020",70,7.4
3135,Elephants on Acid,by Cypress Hill,"September 28, 2018",75,7.4
3136,Weapons Of Mass Destruction,by Xzibit,"December 14, 2004",57,7.4
3137,Young Adults Against Suicide,by Ninja High School,"October 18, 2005",59,7.4
3138,Event II,by Deltron 3030,"September 30, 2013",74,7.4
3139,New Toronto 3 [Mixtape],by Tory Lanez,"April 10, 2020",79,7.4
